seed,path_delay_us
13,3.0976521739130427
13,9.853363636363635
13,1.6420869565217389
13,11.529
13,2.9271818181818183
13,9.448357142857143
13,1.422695652173913
13,9.940777777777777
13,10.691555555555556
13,10.451714285714285
13,8.659928571428571
13,3.6998999999999995
13,2.991878787878788
13,3.062631578947368
13,3.4179999999999997
13,9.8917
13,2.2024285714285714
13,3.971333333333333
13,10.58095
13,4.1715937499999995
13,1.464782608695652
13,4.034093749999999
13,3.751631578947368
13,10.99
13,10.618833333333333
13,1.704238095238095
13,11.194285714285714
13,10.3523
13,9.493500000000001
13,3.6382758620689652
13,11.18211111111111
13,8.920764705882354
13,9.586333333333332
13,8.917933333333334
13,8.361166666666666
13,2.3412999999999995
13,1.8891379310344827
13,9.874699999999999
13,3.251347826086956
13,4.747323529411765
13,10.48990909090909
13,10.647705882352941
13,11.91175
13,2.068
13,11.652333333333333
13,1.9300784313725488
13,10.807599999999999
13,10.955285714285713
13,2.3606999999999996
13,8.466272727272727
13,3.9626037735849056
13,1.9994615384615382
13,7.292
13,11.028166666666667
13,8.96025
13,2.5008974358974356
13,2.185102564102564
13,2.513272727272727
13,3.836133333333333
13,2.9161499999999996
13,1.7131764705882349
13,9.740333333333334
13,8.496666666666666
13,3.1076590909090904
13,11.04476923076923
13,11.392461538461538
13,9.044461538461539
13,9.41025
13,1.99175
13,10.168
13,10.560882352941176
13,2.7943666666666664
13,9.3308
13,3.8244499999999997
13,5.156318181818182
13,1.393
13,8.276352941176471
13,8.642428571428571
13,11.125250000000001
13,9.016666666666666
13,10.9617
13,9.33475
13,10.944222222222223
13,8.199842105263157
13,2.7814285714285707
13,3.5475
13,1.9611428571428569
13,1.7669512195121948
13,10.4585625
13,5.664
13,11.665833333333332
13,9.347466666666666
13,11.279375
13,8.335545454545453
13,7.517133333333333
13,2.2823666666666664
13,9.602285714285713
13,3.019380952380952
13,10.469285714285714
13,4.1395
13,10.824
13,4.329769230769231
13,11.295499999999999
13,11.470363636363636
13,4.219229166666667
13,4.095107142857143
13,10.257499999999999
13,9.2137
13,8.582125
13,2.673
13,9.747
13,9.6611875
13,11.063555555555554
13,11.074
13,10.6047
13,10.487666666666666
13,3.5407826086956518
13,4.015073170731707
13,10.946615384615384
13,11.045066666666667
13,10.576444444444444
13,8.111071428571428
13,3.9373499999999995
13,9.9436
13,11.542124999999999
13,2.753441176470588
13,9.833444444444444
13,8.071928571428572
13,9.834083333333334
13,10.50253846153846
13,9.511375
13,8.297052631578948
13,4.343933333333333
13,3.0363846153846152
13,11.052
13,11.866333333333333
13,10.131
13,9.5521
13,7.513157894736842
13,1.9873749999999997
13,9.908466666666667
13,1.5063902439024388
13,7.7383999999999995
13,9.733749999999999
13,10.1079
13,10.045733333333333
13,10.635428571428571
13,9.1737
13,11.40575
13,9.87376923076923
13,9.7546
13,10.344277777777778
13,10.325
13,2.9493870967741933
13,10.660363636363636
13,11.957
13,11.675666666666666
13,9.561
13,9.796857142857142
13,9.67
13,9.076588235294118
13,10.6115
13,9.348285714285714
13,2.97459375
13,1.624555555555555
13,10.118055555555555
13,4.100266666666666
13,8.1985
13,10.510875
13,10.416
13,10.1885
13,7.646533333333333
13,9.336181818181819
13,9.904
13,10.562785714285713
13,9.663555555555556
13,1.452652173913043
13,3.735733333333333
13,11.19
13,10.295857142857143
13,10.825777777777777
13,10.2821
13,10.991999999999999
13,8.848611111111111
13,9.1763
13,11.7553
13,10.014999999999999
13,10.344583333333333
13,11.533363636363637
13,12.2044
13,9.355555555555556
13,10.112769230769231
13,9.4671
13,9.253812499999999
13,7.9181875
13,10.047833333333333
13,9.931214285714285
13,2.1726046511627906
13,11.461416666666667
13,10.780071428571429
13,2.8379999999999996
13,8.923
13,7.366666666666666
13,9.68690909090909
13,1.607090909090909
13,9.321083333333332
13,9.452142857142858
13,11.135777777777777
13,11.968124999999999
13,8.527555555555555
13,9.5245
13,2.334882352941176
13,10.022307692307692
13,11.459444444444443
13,10.5555
13,1.5185166666666665
13,9.3959
13,10.18470588235294
13,8.625
13,10.286399999999999
13,4.012111111111111
13,2.48325
13,12.49375
13,10.222833333333334
13,9.493545454545455
13,9.613666666666667
13,10.795562499999999
13,10.283454545454545
13,8.831173913043477
13,10.499461538461539
13,10.647375
13,11.029294117647058
13,11.2465
13,10.283166666666666
13,7.8660000000000005
13,3.038782608695652
13,10.862
13,9.677125
13,9.7626875
13,9.946384615384616
13,11.0905
13,7.941318181818182
13,9.592714285714285
13,9.528857142857143
13,10.2949375
13,9.228124999999999
13,8.704928571428571
13,1.4208484848484846
13,11.158571428571427
13,10.284583333333332
13,2.3221875
13,4.072333333333333
13,11.486
13,11.55790909090909
13,8.596882352941176
13,10.483533333333332
13,3.96495652173913
13,10.613583333333333
13,4.007863636363636
13,11.4139
13,3.202222222222222
13,11.0528
13,11.4455
13,9.386461538461539
13,9.750545454545454
13,8.183272727272726
13,10.509272727272727
13,3.6228857142857143
13,11.192230769230768
13,2.064833333333333
13,9.55275
13,10.813333333333333
13,2.355666666666666
13,10.71625
13,1.7523703703703704
13,9.267249999999999
13,12.565142857142856
13,7.484941176470588
13,9.039666666666665
13,4.553354838709677
13,9.705266666666667
13,10.938666666666666
13,9.7434
13,10.8232
13,8.829933333333333
13,9.82711111111111
13,9.1900625
13,9.223071428571428
13,10.277157894736842
13,2.2402068965517237
13,1.2492499999999997
13,8.095749999999999
13,11.279625
13,10.223466666666667
13,1.4188823529411763
13,10.921363636363637
13,10.5425
13,9.25215
13,7.9813636363636355
13,10.8306
13,10.125384615384615
13,8.251947368421051
13,8.952444444444446
13,10.919777777777778
13,11.254444444444445
13,11.4155
13,10.172222222222222
13,7.3358
13,11.27511111111111
13,1.9172592592592588
13,7.436928571428571
13,1.2425
13,4.509583333333333
13,9.706636363636363
13,3.6640714285714284
13,7.496124999999999
13,9.382466666666666
13,11.1128
13,3.3910666666666662
13,11.85511111111111
13,10.241999999999999
13,7.34875
13,8.74878947368421
13,3.9487894736842106
13,1.9625999999999997
13,5.424583333333333
13,1.673685714285714
13,9.93835294117647
13,9.812222222222221
13,10.712833333333332
13,9.2066
13,1.5142916666666661
13,9.1525
13,11.214461538461538
13,9.684105263157894
13,8.0
13,3.236931034482758
13,3.7261739130434774
13,2.652392857142857
13,11.6985
13,8.4758
13,2.426702127659574
13,8.252125
13,4.534727272727272
13,8.333
13,9.82575
13,10.365166666666665
13,11.6494
13,9.471285714285713
13,2.598772727272727
13,9.492166666666666
13,9.939
13,11.596888888888888
13,2.5508620689655173
13,11.311866666666665
13,2.3023999999999996
13,8.966333333333333
13,3.6446666666666663
13,9.212727272727273
13,3.4122352941176466
13,8.216526315789473
13,11.8995
13,3.3549999999999995
13,9.398764705882353
13,8.5705
13,9.031076923076922
13,9.714555555555556
13,11.48125
13,11.530999999999999
13,10.03364705882353
13,1.62902
13,8.243571428571428
13,10.0014375
13,8.487214285714286
13,1.3906538461538458
13,11.667333333333334
13,10.530526315789473
13,9.270199999999999
13,9.44453846153846
